EventID,NETSTATIONID,LATITUDE,LONGITUDE,MAGNITUDE
2847826,AZ.BZN,33.62,-116.47,4.97471054639
4219627,AZ.RDM,33.62,-116.47,2.8805742052
4598534,UU.JRP,40.86,-112.18,6.17707746872
4219627,UU.BYP,40.86,-112.18,8.0989102178
2839762,CI.DAN,34.55,-117.43,5.58381954611
3278325,IM.NV06,33.61,-116.46,2.32520420308
3276647,CI.RPV,34.55,-117.43,5.34016656537
3276647,IU.ANMO,34.95,-106.46,4.7991415495
2686878,TA.109C,32.89,-117.11,4.76391086701
4309875,UU.SRU,40.86,-112.18,4.25708070143
2848499,CI.BAK,34.55,-117.43,5.1487873281
4816697,UU.HTU,40.86,-112.18,7.12485116147
3378043,CI.ARV,34.55,-117.43,4.34035814293
3340100,CI.EDW2,34.55,-117.43,2.45655640592
2848205,CI.BEL,34.55,-117.43,5.31797830564
3276647,LB.DAC,40.43,-117.22,4.66930435697
4814606,TA.W39A,32.53,-107.79,8.04521250929
2867472,TA.S22A,32.89,-117.11,4.16325290669
3333344,CI.PLM,34.55,-117.43,5.83648671454
2839339,CI.MUR,34.55,-117.43,4.95155731495
2879810,AZ.SCI2,33.62,-116.47,4.59292369797
2839918,IU.ANMO,34.95,-106.46,5.39012182977
3378098,CI.HEC,34.55,-117.43,4.5886412719
2627754,AZ.TRO,33.62,-116.47,2.82058077408
5114609,IU.COR,34.95,-106.46,4.60592577434
3988542,AZ.SOL,33.62,-116.47,3.30994016091
4309440,IM.I57L1,33.61,-116.46,8.55911643817
4219627,LB.DAC,40.43,-117.22,4.51207781014
3320863,US.SDCO,42.77,-111.10,6.69635550345
4309875,UU.HDU,40.86,-112.18,6.48865395696
3324625,US.HDIL,34.88,-101.68,4.14155145324
4489138,UU.PSUT,39.82,-110.54,6.30149081773
2854555,CI.BAR,34.55,-117.43,nan
2848032,TA.O20A,32.89,-117.11,4.1970691553
5114609,UU.DOT,40.86,-112.18,6.2827245704
4370421,CI.Q0029,34.55,-117.43,5.56560182902
4810687,CI.SCI2,34.55,-117.43,6.95299751045
3340100,BK.WDC,37.82,-122.33,4.67473377293
3337581,AZ.SMER,33.62,-116.47,3.88824332082
4808249,AZ.HSSP,33.62,-116.47,5.78071021889
